,Digits gmm ICA,Digits gmm PCA,Digits gmm RF,Digits gmm RP,Digits gmm original,Digits km ICA,Digits km PCA,Digits km RF,Digits km RP,Digits km original,Seg gmm ICA,Seg gmm PCA,Seg gmm RF,Seg gmm RP,Seg gmm original,Seg km ICA,Seg km PCA,Seg km RF,Seg km RP,Seg km original
2,0.04629537134314887,0.04230412234028336,0.02067902330600191,0.05062999752408359,0.027750192064559087,0.08230731084768195,0.056836847026715986,0.05560028032050468,0.04901377417263575,0.08060779808147345,0.010218793104286306,0.009983998723328114,0.0038502190727740526,0.007059416268020868,0.014540389354806393,0.04844198982755188,0.0482404090143973,0.014052405400434509,0.022537450218806043,0.04476959109888412
3,0.033794295086408965,0.05782865527726244,0.03556508927431423,0.03667161209159531,0.04094287700718269,0.09032302239211276,0.1010681228217436,0.062217445141868666,0.062126746561261825,0.07907869647897314,0.02083282767853234,0.020752604148583487,0.006376494187861681,0.016079966007964686,0.0904990543203894,0.058177142273052596,0.060858754703076556,0.024043557801633142,0.03014437938691117,0.056917581547168083
4,0.05066167816403322,0.04285444562265184,0.05397434839687776,0.0610879283194663,0.2429071785591077,0.10779131557501387,0.08142945067083929,0.0685425860574469,0.06884074170375243,0.09823704932932742,0.059998267781338654,0.05612709860724863,0.017589139461051673,0.034375021554296836,0.040187140577472746,0.06853900921123568,0.05861811626527924,0.03307611553464085,0.053380080993520096,0.03729040641337633
5,0.0498213748796843,0.0840995660983026,0.07219786701898556,0.06677000343916006,0.18945096182869747,0.0874073820450576,0.09346604793972801,0.060727944335667416,0.10307192296022549,0.10709408612456173,0.09352327747910749,0.09957146832311992,0.01848002958286088,0.05120203737169504,0.04147454959456809,0.058137285988777876,0.06036361702717841,0.03501578794384841,0.05406274758570362,0.04898056061938405
6,0.13298534030036535,0.10297509262454696,0.16959793443675153,0.0769760221010074,0.24289338215021417,0.10139438226178754,0.09225528562092222,0.09240040337317623,0.1205343399051344,0.12015366129344329,0.10053389534004964,0.10493878100533038,0.019489977552439086,0.03625797540007625,0.03268879423558246,0.08613657980458811,0.08532642423233483,0.036382654041517526,0.054601318362983875,0.05025672812189441
7,0.04681912375963293,0.21274491494114045,0.08560695115011185,0.10539508434885647,0.20233501607435755,0.09704136085929349,0.09873448638245463,0.08551829645875841,0.08720145792176481,0.10855803803133313,0.10784931156376842,0.12326986050175037,0.10513116422225721,0.06727101736760233,0.09134446737880353,0.06994522060267627,0.07042094110511243,0.0565080327069154,0.06046581263944972,0.06618825501936954
8,0.06625876997713931,0.11057921142491978,0.09089761711948086,0.06924620273639448,0.4675931378733367,0.11348744259157684,0.1110337263380643,0.08918558541336097,0.09838267805753276,0.13685957533016335,0.08676354978524614,0.09329435935069341,0.043976808767183684,0.0647148500138428,0.09622788391425274,0.07637127966154367,0.08645389713637996,0.06650812723091803,0.10435652160958853,0.07640628165972885
9,0.08065174220246263,0.16054723698471207,0.07986866842838936,0.06850119684531819,0.27338190519367345,0.10184685325657483,0.11276747462397907,0.09399593209673185,0.1275104667583946,0.15494308600318618,0.0912877488299273,0.09810112918785308,0.04910166238551028,0.10229472545324825,0.10315086905029602,0.08352037257282063,0.08094044475001283,0.0726774198556086,0.07963949481199961,0.10382152764941566
10,0.14427361031994224,0.18200780109327752,0.1494099609553814,0.10648091253824532,0.28157620354613755,0.13025825083605014,0.12669852272665594,0.0927189981302945,0.09507409563229885,0.17755488351394888,0.12312576471595094,0.12324686648207717,0.05081420508213341,0.16087630679248832,0.29774712365178857,0.07768883639073465,0.07753375456377398,0.07828565865929704,0.09535717742983252,0.08840148970193695
11,0.15511145324853715,0.16320585539506283,0.17696240454097278,0.09686916127975564,0.15895732899662107,0.10484195068420377,0.11483719092211686,0.10853913183382247,0.1101650637720013,0.1766320572787663,0.10674815402308013,0.11032372243062127,0.062957852249383,0.1882184829446487,0.15341551732853986,0.09032992059655953,0.08900572116544936,0.09624832303961739,0.11355412521515973,0.10287264155340381
