,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.014452409744262696,0.0004009723663330078,0.14285714285714285,0.14285714285714285,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 2}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0008809716826048018,0.0002004862044310924,0.0,0.0
1,0.014539003372192383,0.0004009246826171875,0.14285714285714285,0.14285714285714285,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 3}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0007096185428376956,0.00020046239802090234,0.0,0.0
2,0.014739036560058594,0.00020060539245605468,0.14285714285714285,0.14285714285714285,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 4}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0016044974705719378,0.0002456904371521477,0.0,0.0
3,0.015441179275512695,0.00040116310119628904,0.14285714285714285,0.14285714285714285,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 5}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0010708102537498885,0.00020058162853122015,0.0,0.0
4,0.017232465744018554,0.00039534568786621095,0.14285714285714285,0.14285714285714285,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 6}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0012013306548531852,0.00019799536323301473,0.0,0.0
5,0.09926352500915528,0.0004015445709228516,0.13982683982683983,0.15292207792207793,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 7}",630,0.049783549783549784,0.1066017316017316,0.20562770562770563,0.1893939393939394,0.15800865800865802,0.15476190476190477,0.16017316017316016,0.16666666666666666,0.12554112554112554,0.1471861471861472,0.011247392376553792,0.0002007752511616643,0.05174201565197949,0.027206509318269005
6,0.09406123161315919,0.0004015445709228516,0.14285714285714285,0.14285714285714285,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 8}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.023008352122594312,0.0002007761005188181,0.0,0.0
7,0.10693631172180176,0.0006011009216308593,0.14285714285714285,0.14285714285714285,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 9}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.010437399059622827,0.00020048711171810144,0.0,0.0
8,0.0744105339050293,0.003125286102294922,0.14285714285714285,0.14285714285714285,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 10}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.04191782615645846,0.006250572204589844,0.0,0.0
9,0.12320456504821778,0.0,0.14285714285714285,0.14285714285714285,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 11}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.009336610327157921,0.0,0.0,0.0
10,0.1264218807220459,0.0005011558532714844,0.14285714285714285,0.14285714285714285,"(25,)",0.001,12,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 12}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.006067358831192811,2.132480599880018e-07,0.0,0.0
11,0.1454470634460449,0.00010023117065429687,0.3874458874458874,0.39025974025974025,"(25,)",0.001,13,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 13}",394,0.31601731601731603,0.34686147186147187,0.29653679653679654,0.3300865800865801,0.5432900432900433,0.5611471861471862,0.24458874458874458,0.2012987012987013,0.5367965367965368,0.5119047619047619,0.0524128669707971,0.00020046234130859374,0.12678145311029382,0.13054541248422386
12,0.12288885116577149,0.0,0.14285714285714285,0.14285714285714285,"(25,)",0.001,14,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 14}",562,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.02896259694486925,0.0,0.0,0.0
13,0.12993817329406737,0.0,0.141991341991342,0.1425324675324675,"(25,)",0.001,15,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 15}",628,0.14285714285714285,0.14285714285714285,0.13852813852813853,0.14123376623376624,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.055503864991784266,0.0,0.0017316017316017283,0.000649350649350644
14,0.16384096145629884,0.00040106773376464845,0.14372294372294372,0.14491341991341994,"(25,)",0.001,16,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 16}",552,0.14285714285714285,0.14393939393939395,0.14285714285714285,0.14502164502164502,0.14285714285714285,0.14285714285714285,0.14502164502164502,0.14772727272727273,0.14502164502164502,0.14502164502164502,0.009793350054597652,0.00020053400152598972,0.0010603851700360127,0.001619765102499545
15,0.16946182250976563,0.0005021572113037109,0.18138528138528137,0.19567099567099572,"(25,)",0.001,17,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 17}",522,0.12337662337662338,0.13365800865800867,0.19696969696969696,0.17694805194805194,0.2813852813852814,0.2813852813852814,0.15584415584415584,0.1985930735930736,0.14935064935064934,0.18777056277056278,0.013939299043934535,1.291867941297919e-06,0.05529275749422348,0.0481955461320495
16,0.18007912635803222,0.0003008842468261719,0.20303030303030303,0.20573593073593072,"(25,)",0.001,18,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 18}",506,0.16017316017316016,0.18073593073593072,0.29004329004329005,0.28679653679653677,0.20995670995670995,0.1829004329004329,0.19264069264069264,0.2261904761904762,0.16233766233766234,0.15205627705627706,0.007163089209088807,0.00024567097421393584,0.04737046490440691,0.04694076153031054
17,0.2519698143005371,0.00040636062622070315,0.27575757575757576,0.28528138528138525,"(25,)",0.001,19,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 19}",453,0.24025974025974026,0.2748917748917749,0.27056277056277056,0.29383116883116883,0.2683982683982684,0.2662337662337662,0.17532467532467533,0.17694805194805194,0.42424242424242425,0.4145021645021645,0.030369231900720738,0.0002034404709936557,0.08182390781401903,0.07612880596425475
