,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_clf__n_components,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.059357738494873045,0.0005013942718505859,0.3867557039510295,0.3980435390199075,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 2}",405,0.4258241758241758,0.424284717376134,0.1712707182320442,0.19790940766550522,0.45125348189415043,0.4478442280945758,0.4649859943977591,0.44930555555555557,0.4225352112676056,0.470873786407767,0.016132828146284955,2.132480599880018e-07,0.10937506082787647,0.1011478303086073
1,0.08473362922668456,0.00040044784545898435,0.6933778519755147,0.727888460490166,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 5}",362,0.6758241758241759,0.7222609909281228,0.6988950276243094,0.7365853658536585,0.7270194986072424,0.7336578581363005,0.7675070028011205,0.7423611111111111,0.5971830985915493,0.7045769764216366,0.010509719919265482,0.00020022605196244714,0.05669535340015563,0.013367673180069385
2,0.08891401290893555,0.00030078887939453123,0.7534780189204229,0.8225195967228576,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 10}",355,0.771978021978022,0.8080949057920447,0.7237569060773481,0.8418118466898955,0.7938718662952646,0.885952712100139,0.8291316526610645,0.8284722222222223,0.647887323943662,0.7482662968099861,0.02877053209420884,0.00024559329219980326,0.06255295603473605,0.04506219932935847
3,0.07961835861206054,0.00030007362365722654,0.7813021702838063,0.8469224457530176,"(25,)",0.001,15,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 15}",350,0.8021978021978022,0.8415910676901605,0.6933701657458563,0.7888501742160279,0.7910863509749304,0.8713490959666204,0.865546218487395,0.8645833333333334,0.7549295774647887,0.8682385575589459,0.014499960957538234,0.0002450130936689927,0.05667888202926394,0.030866671757156024
4,0.09846692085266114,0.0005013465881347657,0.8447412353923205,0.8996959135373561,"(25,)",0.001,20,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 20}",321,0.8351648351648352,0.8939288206559665,0.8591160220994475,0.929616724738676,0.8356545961002786,0.874826147426982,0.8739495798319328,0.8777777777777778,0.819718309859155,0.9223300970873787,0.008532534439463963,2.3360154559928684e-07,0.01923224986058964,0.022537659637964794
5,0.08773345947265625,0.0005013942718505859,0.8469671675013912,0.8906242196269508,"(25,)",0.001,25,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 25}",316,0.8186813186813187,0.8736915561758548,0.8011049723756906,0.8752613240418119,0.8802228412256268,0.9026425591098748,0.9215686274509803,0.9,0.8140845070422535,0.9015256588072122,0.004681607315030448,1.5078914929239175e-07,0.046108222436618766,0.013220595826507718
6,0.1071852207183838,0.0005012989044189453,0.865887590428492,0.9227765042856504,"(25,)",0.001,30,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 30}",289,0.8681318681318682,0.9413817166782973,0.8121546961325967,0.889198606271777,0.8467966573816156,0.9186369958275382,0.9411764705882353,0.9236111111111112,0.8619718309859155,0.9410540915395285,0.018967546457393045,1.1680077279964342e-07,0.04224447574971427,0.019107754749611974
7,0.10507354736328126,0.0005012035369873046,0.8697829716193656,0.9280356727000937,"(25,)",0.001,35,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 35}",283,0.8681318681318682,0.9099790648988136,0.8176795580110497,0.9094076655052264,0.8885793871866295,0.9262865090403338,0.927170868347339,0.9381944444444444,0.847887323943662,0.9563106796116505,0.012110915602641367,6.289914111267529e-07,0.03697298042161354,0.01776952430456315
8,0.09405026435852051,0.0005014896392822266,0.8464106844741235,0.9105160284191944,"(25,)",0.001,40,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 40}",319,0.8543956043956044,0.9078855547801814,0.7762430939226519,0.8968641114982578,0.8356545961002786,0.8783031988873435,0.9159663865546218,0.9291666666666667,0.8507042253521127,0.9403606102635229,0.00857117143105159,1.1680077279964342e-07,0.044638874757809505,0.02222388798626684
9,0.09525880813598633,0.0006020545959472656,0.865887590428492,0.9294385171128592,"(25,)",0.001,45,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 45}",289,0.9010989010989011,0.942079553384508,0.7403314917127072,0.8745644599303136,0.9080779944289693,0.9374130737134909,0.9299719887955182,0.9506944444444444,0.8507042253521127,0.9424410540915396,0.01473625792074344,0.00020024903488119616,0.06814576978321205,0.02776844222234543
10,0.09887676239013672,0.0007023811340332031,0.8603227601558152,0.9351671518314957,"(25,)",0.001,50,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'clf__n_components': 50}",297,0.8708791208791209,0.9434752267969295,0.8287292817679558,0.9282229965156794,0.8857938718662952,0.9388038942976356,0.8599439775910365,0.9055555555555556,0.856338028169014,0.9597780859916782,0.008405299081800523,0.00024606040250451234,0.01887916037412293,0.017961158162504917
