,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.31691513061523435,0.11448841094970703,0.2582081246521981,0.2599246166340555,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 2}",408,0.12912087912087913,0.1374738311235171,0.31215469613259667,0.2975609756097561,0.2785515320334262,0.28303198887343534,0.2773109243697479,0.3020833333333333,0.29577464788732394,0.27947295423023577,0.01850739774414405,0.006507889249311417,0.06629920244155217,0.06181283998880676
1,0.33990039825439455,0.1201146125793457,0.5692821368948247,0.5996160057846354,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 5}",367,0.6346153846153846,0.6594556873691556,0.511049723756906,0.5372822299651568,0.5459610027855153,0.6084840055632823,0.5210084033613446,0.5506944444444445,0.6338028169014085,0.6421636615811374,0.016319837343285404,0.0059049477190934755,0.054237672676100857,0.048473808799935514
2,0.35388522148132323,0.11055960655212402,0.6972732331663885,0.7426740419895997,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 10}",335,0.6098901098901099,0.5959525471039777,0.7071823204419889,0.8118466898954704,0.7103064066852368,0.7517385257301809,0.7282913165266106,0.8131944444444444,0.7323943661971831,0.7406380027739251,0.031028743822641217,0.004358724228843467,0.04511364789722359,0.0792104661813645
3,0.35828447341918945,0.11634812355041504,0.7673900946021146,0.8351405339443444,"(25,)",0.001,15,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 15}",331,0.7582417582417582,0.8032100488485694,0.7596685082872928,0.8808362369337979,0.7688022284122563,0.8310152990264256,0.7759103641456583,0.8222222222222222,0.7746478873239436,0.8384188626907073,0.016785831499139772,0.0008121935779356,0.007361389202463518,0.025699419956096373
4,0.360169506072998,0.11190953254699706,0.8185865331107401,0.8782693371405779,"(25,)",0.001,20,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 20}",310,0.8076923076923077,0.8890439637124913,0.7928176795580111,0.8738675958188153,0.8272980501392758,0.8713490959666204,0.8179271708683473,0.8590277777777777,0.847887323943662,0.8980582524271845,0.012551646079676838,0.00595533697948303,0.018511101224206718,0.0137491557360173
5,0.35267958641052244,0.11320486068725585,0.8291597106288259,0.8837227852427235,"(25,)",0.001,25,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 25}",302,0.8461538461538461,0.8904396371249128,0.8038674033149171,0.8871080139372822,0.8857938718662952,0.9123783031988874,0.8543417366946778,0.8840277777777777,0.7549295774647887,0.8446601941747572,0.018094379239895996,0.005716414401559457,0.04519565977185376,0.021925754825078927
6,0.3651409149169922,0.117218017578125,0.8341680578742349,0.9058188203075904,"(25,)",0.001,30,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 30}",299,0.8324175824175825,0.9050942079553385,0.7845303867403315,0.9142857142857143,0.871866295264624,0.9123783031988874,0.8599439775910365,0.8791666666666667,0.8225352112676056,0.9181692094313454,0.017559372752316657,0.0039565883941476716,0.030652991510577494,0.013986490465492865
7,0.3541907787322998,0.11702594757080079,0.8480801335559266,0.9025751364151191,"(25,)",0.001,35,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 35}",290,0.9148351648351648,0.9232379623168179,0.6961325966850829,0.8160278745644599,0.8997214484679665,0.9214186369958275,0.8935574229691877,0.9298611111111111,0.8366197183098592,0.9223300970873787,0.029217984826132908,0.003162887916897885,0.08076671696097251,0.04337566439490807
8,0.3872071743011475,0.1130918025970459,0.8686700055648303,0.9308394472765393,"(25,)",0.001,40,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 40}",265,0.8901098901098901,0.9323098394975575,0.8176795580110497,0.9317073170731708,0.8579387186629527,0.8915159944367177,0.9215686274509803,0.9368055555555556,0.856338028169014,0.9618585298196949,0.01648692008386432,0.0039042058104484753,0.035012035637253,0.022570011627508105
9,0.339650821685791,0.11717643737792968,0.8352810239287701,0.9020211398068894,"(25,)",0.001,45,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 45}",298,0.8324175824175825,0.8939288206559665,0.7845303867403315,0.8745644599303136,0.8440111420612814,0.9193324061196105,0.8571428571428571,0.8638888888888889,0.8591549295774648,0.9583911234396671,0.02789373493638994,0.0014514992067747123,0.027263264844197832,0.03391365051205219
10,0.3658496856689453,0.11613502502441406,0.865887590428492,0.9362564836408331,"(25,)",0.001,50,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 50}",269,0.8324175824175825,0.8967201674808095,0.8425414364640884,0.9484320557491289,0.8997214484679665,0.9534075104311543,0.9243697478991597,0.9430555555555555,0.8309859154929577,0.9396671289875174,0.01667556056326809,0.0006518567590665013,0.03854233714658307,0.020314440441293956
