,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_filter__n,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.2850675106048584,0.11547770500183105,0.22857142857142856,0.22694805194805193,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 2}",597,0.14285714285714285,0.14285714285714285,0.5714285714285714,0.5633116883116883,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.019533557756321686,0.0011154254528672669,0.17142857142857143,0.1681818181818182
1,0.38559918403625487,0.11419682502746582,0.638961038961039,0.6826839826839827,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 3}",507,0.5432900432900433,0.685064935064935,0.6060606060606061,0.6617965367965368,0.6623376623376623,0.6607142857142857,0.7467532467532467,0.7716450216450217,0.6363636363636364,0.6341991341991342,0.04939188135185627,0.010157779681757087,0.06694438136121589,0.04730638202295303
2,0.33357038497924807,0.12031168937683105,0.7714285714285715,0.8141774891774892,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 4}",469,0.7619047619047619,0.7932900432900433,0.8333333333333334,0.8176406926406926,0.8008658008658008,0.8176406926406926,0.6883116883116883,0.8116883116883117,0.7727272727272727,0.8306277056277056,0.012535950802157761,0.008941607273019412,0.04837262832511794,0.012141487371715779
3,0.346089506149292,0.12066230773925782,0.6874458874458874,0.701948051948052,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 5}",502,0.841991341991342,0.8511904761904762,0.6212121212121212,0.6130952380952381,0.6190476190476191,0.5995670995670995,0.5822510822510822,0.5800865800865801,0.7727272727272727,0.8658008658008658,0.038776802504875724,0.009354099189176731,0.10128019959057839,0.12833389736580006
4,0.38401427268981936,0.11639156341552734,0.78008658008658,0.8235930735930737,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 6}",462,0.7943722943722944,0.8225108225108225,0.8376623376623377,0.8284632034632035,0.8246753246753247,0.8382034632034632,0.6645021645021645,0.7813852813852814,0.7792207792207793,0.8474025974025974,0.013511685468837983,0.007111296935420483,0.06142916632057754,0.022745303093240094
5,0.32129974365234376,0.11419849395751953,0.6298701298701299,0.6444805194805194,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 7}",511,0.8333333333333334,0.7938311688311688,0.4523809523809524,0.41233766233766234,0.7554112554112554,0.7797619047619048,0.3917748917748918,0.4431818181818182,0.7164502164502164,0.7932900432900433,0.027419521765507826,0.0032103008836121246,0.1748403336117097,0.17729208516373268
6,0.3380953311920166,0.11296305656433106,0.7584415584415585,0.751082251082251,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 8}",476,0.7251082251082251,0.5968614718614719,0.8268398268398268,0.8116883116883117,0.6558441558441559,0.6666666666666666,0.8073593073593074,0.8506493506493507,0.7770562770562771,0.8295454545454546,0.02595624305442283,0.003806976747760105,0.06173348387870436,0.1006510962004759
7,0.33949942588806153,0.11657819747924805,0.7883116883116883,0.8098484848484848,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 9}",458,0.9177489177489178,0.8695887445887446,0.8333333333333334,0.8246753246753247,0.8008658008658008,0.7581168831168831,0.6666666666666666,0.8068181818181818,0.7229437229437229,0.79004329004329,0.015629677284770646,0.005005829824809116,0.08718833960367366,0.037057579274768354
8,0.3630110263824463,0.11566767692565919,0.8532467532467533,0.8758658008658008,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 10}",417,0.8917748917748918,0.8771645021645021,0.8701298701298701,0.8717532467532467,0.8614718614718615,0.8576839826839827,0.8246753246753247,0.8977272727272727,0.8181818181818182,0.875,0.014230716111523576,0.0027379530247110197,0.027867492535811382,0.012867414673334921
9,0.36754522323608396,0.11215071678161621,0.8645021645021645,0.8780303030303032,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'filter__n': 11}",403,0.9134199134199135,0.887987012987013,0.9069264069264069,0.8890692640692641,0.8203463203463204,0.836038961038961,0.8311688311688312,0.8912337662337663,0.8506493506493507,0.8858225108225108,0.011537925676045812,0.005576656233317988,0.03858889125206328,0.02106806815566032
