,ICA,PCA,RF,RP,original
GMM,0.21620295841421466,0.1950326297665015,0.15226275099848863,0.24170510286057834,0.18799595203017816
K-means,0.20400616954430006,0.2016572037828155,0.15351720193575602,0.24588183684682008,0.16015659431286622
No clusters,0.16953304021444637,0.16654611844569445,0.3246304415661143,0.1425240217067767,0.26765946281375363
