,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustGMM__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.14328579902648925,0.0035268306732177735,0.7636363636363637,0.8123376623376624,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 2}",298,0.79004329004329,0.8154761904761905,0.8095238095238095,0.8690476190476191,0.8073593073593074,0.7510822510822511,0.6601731601731602,0.7786796536796536,0.7510822510822511,0.8474025974025974,0.036795486144222844,0.007053661346435548,0.055815624108350455,0.04322153670318018
1,0.1588615894317627,0.007136106491088867,0.745021645021645,0.8312770562770563,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 3}",333,0.8073593073593074,0.821969696969697,0.7987012987012987,0.829004329004329,0.7813852813852814,0.7997835497835498,0.7164502164502164,0.8630952380952381,0.6212121212121212,0.8425324675324676,0.018786751305265872,0.006247887033248048,0.06962029607956581,0.02108418437849725
2,0.1636352062225342,0.012633705139160156,0.7636363636363637,0.8341991341991342,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 4}",298,0.7597402597402597,0.8057359307359307,0.7770562770562771,0.8468614718614719,0.8398268398268398,0.8122294372294372,0.6536796536796536,0.8235930735930735,0.7878787878787878,0.8825757575757576,0.017690004867752938,0.004090041288894227,0.06112026760666621,0.027949749703015874
3,0.16694674491882325,0.012934303283691407,0.6584415584415585,0.7520562770562771,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 5}",419,0.7922077922077922,0.836038961038961,0.7662337662337663,0.8495670995670995,0.3246753246753247,0.36417748917748916,0.6255411255411255,0.8392857142857143,0.7835497835497836,0.8712121212121212,0.05819422317058495,0.001990166185586301,0.17756518275494418,0.19432884279892493
4,0.18689746856689454,0.013636302947998048,0.654978354978355,0.8308441558441558,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 6}",421,0.7229437229437229,0.801948051948052,0.6861471861471862,0.8311688311688312,0.7597402597402597,0.8663419913419913,0.5086580086580087,0.827922077922078,0.5974025974025974,0.8268398268398268,0.02327015317825564,0.004163013264283551,0.09087403983115293,0.02059009348997656
5,0.15461173057556152,0.014739179611206054,0.6636363636363637,0.7728354978354979,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 7}",417,0.7835497835497836,0.8057359307359307,0.6926406926406926,0.7061688311688312,0.6688311688311688,0.8647186147186147,0.48917748917748916,0.6812770562770563,0.683982683982684,0.8062770562770563,0.047163654215064646,0.0035957464291618193,0.0960180576833628,0.06851375941991152
6,0.18849530220031738,0.024270248413085938,0.6632034632034632,0.8068181818181819,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 8}",418,0.7164502164502164,0.737012987012987,0.7878787878787878,0.8587662337662337,0.5995670995670995,0.8079004329004329,0.5822510822510822,0.8122294372294372,0.6298701298701299,0.8181818181818182,0.036467073071674246,0.006295619785673171,0.07757981591116116,0.039321623839624245
7,0.20370931625366212,0.02927818298339844,0.6683982683982684,0.8225108225108226,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 9}",415,0.7662337662337663,0.8187229437229437,0.854978354978355,0.8647186147186147,0.5627705627705628,0.8057359307359307,0.487012987012987,0.8057359307359307,0.670995670995671,0.8176406926406926,0.05779733955777025,0.018132641574907907,0.13300262579708433,0.021828228979183885
8,0.21457042694091796,0.02937803268432617,0.6562770562770562,0.7912337662337663,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 10}",420,0.7121212121212122,0.8116883116883117,0.7554112554112554,0.7857142857142857,0.5541125541125541,0.711038961038961,0.5584415584415584,0.8138528138528138,0.7012987012987013,0.8338744588744589,0.03548239691458686,0.010134440871609265,0.0836450570441801,0.042918317439667904
9,0.2446448802947998,0.03449149131774902,0.6818181818181818,0.8195887445887446,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 11}",405,0.7077922077922078,0.8257575757575758,0.7229437229437229,0.8003246753246753,0.5303030303030303,0.7987012987012987,0.7251082251082251,0.8241341991341992,0.7229437229437229,0.849025974025974,0.028930597737717025,0.007148861111837431,0.07601070882152024,0.01861534781983008
10,0.22961077690124512,0.040006828308105466,0.6484848484848484,0.7916666666666666,"(25,)",0.001,12,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 12}",424,0.7077922077922078,0.8024891774891775,0.7489177489177489,0.8273809523809523,0.5303030303030303,0.7256493506493507,0.7359307359307359,0.8484848484848485,0.5194805194805194,0.7543290043290043,0.03954739792041319,0.01541405537848853,0.10184298958612067,0.04554850112282603
