,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustKM__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.10557560920715332,0.015139961242675781,0.7926406926406926,0.8267316017316018,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 2}",423,0.8268398268398268,0.7922077922077922,0.7272727272727273,0.7316017316017316,0.8246753246753247,0.8787878787878788,0.7813852813852814,0.8890692640692641,0.803030303030303,0.841991341991342,0.01817392210076972,0.0018325195103315965,0.03661529082907445,0.05842993310699793
1,0.1396719455718994,0.019050455093383788,0.8376623376623377,0.8772727272727273,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 3}",374,0.9632034632034632,0.8798701298701299,0.8809523809523809,0.8961038961038961,0.8116883116883117,0.8701298701298701,0.7748917748917749,0.8971861471861472,0.7575757575757576,0.8430735930735931,0.02266472662152087,0.0018762112796923119,0.07571427333862911,0.01989223416603988
2,0.11541619300842285,0.01824841499328613,0.7787878787878788,0.8377705627705627,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 4}",435,0.7510822510822511,0.7694805194805194,0.8051948051948052,0.8138528138528138,0.7445887445887446,0.8576839826839827,0.7792207792207793,0.8961038961038961,0.8138528138528138,0.8517316017316018,0.01744383285479726,0.0015725175291385794,0.027800163390480206,0.042964686441649
3,0.12583522796630858,0.021055936813354492,0.7891774891774892,0.8642857142857142,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 5}",427,0.8593073593073594,0.8495670995670995,0.854978354978355,0.8766233766233766,0.8181818181818182,0.8468614718614719,0.7294372294372294,0.8793290043290043,0.683982683982684,0.8690476190476191,0.01993979440226693,0.0016474305146193134,0.07031934214620336,0.013575242668475316
4,0.14338102340698242,0.024765825271606444,0.8186147186147186,0.8666666666666668,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 6}",398,0.9242424242424242,0.8414502164502164,0.8246753246753247,0.8446969696969697,0.8181818181818182,0.8685064935064936,0.7965367965367965,0.8977272727272727,0.7294372294372294,0.8809523809523809,0.009757071173097149,0.002829456370329044,0.06266448717425187,0.02140450789326766
5,0.17255911827087403,0.02637028694152832,0.8103896103896104,0.8807359307359308,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 7}",405,0.8896103896103896,0.8896103896103896,0.8484848484848485,0.8582251082251082,0.7640692640692641,0.8663419913419913,0.7770562770562771,0.8939393939393939,0.7727272727272727,0.8955627705627706,0.013938479710037689,0.0022554139454354473,0.04980424941392088,0.015406785917384503
6,0.14889583587646485,0.03248639106750488,0.7489177489177489,0.84004329004329,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 8}",450,0.8896103896103896,0.8365800865800865,0.8008658008658008,0.8398268398268398,0.7402597402597403,0.8311688311688312,0.7186147186147186,0.8630952380952381,0.5952380952380952,0.8295454545454546,0.00615654857976909,0.004175128364010516,0.0970604862555642,0.012102838579172532
7,0.1650449275970459,0.03097681999206543,0.7917748917748918,0.8593073593073592,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 9}",425,0.9242424242424242,0.8436147186147186,0.8506493506493507,0.8522727272727273,0.7987012987012987,0.8674242424242424,0.6406926406926406,0.8528138528138528,0.7445887445887446,0.8804112554112554,0.019299885015958484,0.005109910256410778,0.09603562178385727,0.013032028764926734
8,0.16352930068969726,0.033895444869995114,0.7216450216450216,0.8420995670995671,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 10}",456,0.8593073593073594,0.8317099567099567,0.5800865800865801,0.8084415584415584,0.7489177489177489,0.8446969696969697,0.7683982683982684,0.887987012987013,0.6515151515151515,0.8376623376623377,0.015842637189240713,0.0020440840949148198,0.09678592666954136,0.025972673124941805
9,0.17386226654052733,0.03570055961608887,0.7857142857142857,0.8696969696969697,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 11}",431,0.9393939393939394,0.8858225108225108,0.7510822510822511,0.8771645021645021,0.7965367965367965,0.8787878787878788,0.6320346320346321,0.8446969696969697,0.8095238095238095,0.862012987012987,0.023033808565558485,0.0016029948371091658,0.09911434800016664,0.014713839306802886
10,0.1917099952697754,0.03509302139282226,0.7792207792207793,0.8773809523809524,"(25,)",0.001,12,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 12}",434,0.8506493506493507,0.8614718614718615,0.8874458874458875,0.8923160173160173,0.7272727272727273,0.8593073593073594,0.6818181818181818,0.875,0.7489177489177489,0.8988095238095238,0.017333138585574757,0.0028359350561725926,0.07735483772095872,0.015922705250477412
