,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustGMM__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.026774024963378905,0.003942632675170898,0.14285714285714285,0.17099567099567098,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 2}",502,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.28354978354978355,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.005956130696437679,0.006052701207661477,0.0,0.05627705627705628
1,0.043338584899902347,0.003125715255737305,0.14285714285714285,0.2511904761904762,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 3}",502,0.14285714285714285,0.2840909090909091,0.14285714285714285,0.17803030303030304,0.14285714285714285,0.36688311688311687,0.14285714285714285,0.27976190476190477,0.14285714285714285,0.1471861471861472,0.01495596918318981,0.00625143051147461,0.0,0.0793131307092991
2,0.052014923095703124,0.017132091522216796,0.18701298701298702,0.16103896103896104,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 4}",347,0.2748917748917749,0.18073593073593072,0.23160173160173161,0.10497835497835498,0.14285714285714285,0.28354978354978355,0.14285714285714285,0.11471861471861472,0.14285714285714285,0.12121212121212122,0.0063400178369424675,0.017665130926956703,0.05578539812960179,0.06674041572126088
3,0.062087059020996094,0.012696456909179688,0.23116883116883116,0.20746753246753244,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 5}",257,0.3051948051948052,0.3587662337662338,0.2857142857142857,0.14285714285714285,0.13636363636363635,0.2510822510822511,0.2857142857142857,0.14177489177489178,0.14285714285714285,0.14285714285714285,0.006382363670915536,0.005846843011357974,0.07512288241028348,0.0865541086568394
4,0.061949300765991214,0.016512250900268553,0.17662337662337663,0.18322510822510824,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 6}",372,0.21212121212121213,0.1774891774891775,0.2597402597402597,0.1829004329004329,0.10173160173160173,0.2754329004329004,0.17316017316017315,0.13744588744588745,0.13636363636363635,0.14285714285714285,0.005355068276130654,0.010040561134921518,0.05551599948581774,0.04951887103400303
5,0.07410359382629395,0.0248842716217041,0.16103896103896104,0.1640692640692641,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 7}",434,0.17316017316017315,0.14826839826839827,0.24458874458874458,0.1130952380952381,0.09740259740259741,0.2775974025974026,0.14935064935064934,0.13690476190476192,0.1406926406926407,0.1444805194805195,0.027936501998375395,0.006656485724688137,0.048430705700249335,0.05806597284835616
6,0.0962599277496338,0.021761655807495117,0.1329004329004329,0.16266233766233765,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 8}",577,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.11038961038961038,0.2472943722943723,0.2683982683982684,0.13474025974025974,0.0,0.14556277056277056,0.012421433299844556,0.012787113541677912,0.0857055398047977,0.042471426627747104
7,0.08905467987060547,0.029100513458251952,0.1367965367965368,0.15086580086580087,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 9}",565,0.14285714285714285,0.14285714285714285,0.19480519480519481,0.09361471861471861,0.2077922077922078,0.2305194805194805,0.13852813852813853,0.1423160173160173,0.0,0.14502164502164502,0.015235862913804325,0.008764015974273788,0.07369994786157721,0.04425785051416252
8,0.10728540420532226,0.025166988372802734,0.16233766233766234,0.15638528138528138,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 10}",432,0.14285714285714285,0.14285714285714285,0.24242424242424243,0.09740259740259741,0.21212121212121213,0.25703463203463206,0.20346320346320346,0.14177489177489178,0.010822510822510822,0.14285714285714285,0.02886791707381612,0.007424310686830794,0.08236492463394134,0.05327050468050309
9,0.09395012855529786,0.030380773544311523,0.16363636363636364,0.17662337662337663,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 11}",427,0.14285714285714285,0.23376623376623376,0.24242424242424243,0.10606060606060606,0.20995670995670995,0.2554112554112554,0.20346320346320346,0.1423160173160173,0.01948051948051948,0.14556277056277056,0.020606346169710073,0.010576320519169761,0.07893283843648179,0.05760850060075002
10,0.12352876663208008,0.03399052619934082,0.1787878787878788,0.17316017316017315,"(25,)",0.001,12,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustGMM__n_clusters': 12}",367,0.2012987012987013,0.21103896103896103,0.24242424242424243,0.10822510822510822,0.22077922077922077,0.25757575757575757,0.21212121212121213,0.1423160173160173,0.017316017316017316,0.14664502164502163,0.013213550903872533,0.00731588947334309,0.08185825537782519,0.05372480122089235
