,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_hidden_layer_sizes,param_learning_rate_init,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.07223539352416992,0.00020051002502441406,0.7735930735930736,0.8119047619047619,"(25,)",0.001,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.001}",26,0.7662337662337663,0.7840909090909091,0.8398268398268398,0.8154761904761905,0.8008658008658008,0.8176406926406926,0.6883116883116883,0.8116883116883117,0.7727272727272727,0.8306277056277056,0.010485829034114238,0.0004010200500488281,0.04991700538666518,0.01529615562255823
1,0.05133657455444336,0.00020051002502441406,0.8623376623376623,0.8931818181818182,"(25,)",0.006,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.006}",24,0.8679653679653679,0.9182900432900433,0.854978354978355,0.829004329004329,0.8658008658008658,0.8847402597402597,0.854978354978355,0.9204545454545454,0.8679653679653679,0.9134199134199135,0.01639770072573296,0.00024557372897362963,0.006060606060606065,0.034565344337625425
2,0.04772706031799316,0.00010027885437011719,0.8887445887445887,0.920021645021645,"(25,)",0.01,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.01}",20,0.8831168831168831,0.9242424242424242,0.9393939393939394,0.91504329004329,0.8917748917748918,0.9069264069264069,0.8268398268398268,0.9166666666666666,0.9025974025974026,0.9372294372294372,0.015447442279054436,0.00020055770874023439,0.036415135662014035,0.010212230400073975
3,0.023874711990356446,0.00030074119567871096,0.9034632034632034,0.9318181818181817,"(25,)",0.06,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.06}",13,0.9199134199134199,0.939935064935065,0.9242424242424242,0.9372294372294372,0.9069264069264069,0.908008658008658,0.8376623376623377,0.9291125541125541,0.9285714285714286,0.9448051948051948,0.005889811270497254,0.00024555459013073013,0.03368844408371206,0.012946364959335618
4,0.02628049850463867,0.00030074119567871096,0.9043290043290043,0.9281385281385282,"(25,)",0.1,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.1}",11,0.9285714285714286,0.9491341991341992,0.935064935064935,0.9420995670995671,0.9155844155844156,0.9047619047619048,0.8917748917748918,0.9393939393939394,0.8506493506493507,0.9053030303030303,0.01032030967208444,0.00024555426604459156,0.03065350816813936,0.019132901368303087
5,0.033394145965576175,0.0005015373229980469,0.8822510822510823,0.8983766233766234,"(25,)",0.6,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 0.6}",22,0.9307359307359307,0.9512987012987013,0.8333333333333334,0.7613636363636364,0.9025974025974026,0.9134199134199135,0.8398268398268398,0.9383116883116883,0.9047619047619048,0.9274891774891775,0.003935689800562135,2.4314019744838644e-07,0.03863742465226784,0.06963038953712988
6,0.05384297370910644,0.00040111541748046877,0.8965367965367965,0.9085497835497834,"(25,)",1,"{'hidden_layer_sizes': (25,), 'learning_rate_init': 1}",17,0.9307359307359307,0.9475108225108225,0.8614718614718615,0.8793290043290043,0.8744588744588745,0.854978354978355,0.9025974025974026,0.913961038961039,0.9134199134199135,0.946969696969697,0.012182869326013446,0.00020055787879621014,0.025331149503597907,0.036734414073716457
7,0.04361557960510254,0.00040111541748046877,0.6822510822510822,0.6967532467532467,"(25, 25)",0.001,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.001}",28,0.6298701298701299,0.6991341991341992,0.6645021645021645,0.7056277056277056,0.7142857142857143,0.7002164502164502,0.7056277056277056,0.6818181818181818,0.696969696969697,0.696969696969697,0.0031224706407666225,0.00020055776542557565,0.031138754127020673,0.007994019615852561
8,0.06718392372131347,0.00030112266540527344,0.8844155844155844,0.9142857142857143,"(25, 25)",0.006,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.006}",21,0.7922077922077922,0.8906926406926406,0.9415584415584416,0.9193722943722944,0.948051948051948,0.928030303030303,0.8506493506493507,0.9188311688311688,0.8896103896103896,0.9145021645021645,0.017853526866638027,0.00024586622785496365,0.05828261213588798,0.012586724323860045
9,0.06026444435119629,0.0005013465881347657,0.9017316017316017,0.9320346320346321,"(25, 25)",0.01,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.01}",15,0.8506493506493507,0.908008658008658,0.9437229437229437,0.9285714285714286,0.9437229437229437,0.9448051948051948,0.8614718614718615,0.9426406926406926,0.9090909090909091,0.9361471861471862,0.01276893956277336,1.784161275279017e-07,0.03952454445199421,0.013279533896257956
10,0.0359957218170166,0.0005014419555664062,0.9090909090909091,0.9260822510822511,"(25, 25)",0.06,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.06}",5,0.9155844155844156,0.9377705627705628,0.8787878787878788,0.8798701298701299,0.948051948051948,0.941017316017316,0.8744588744588745,0.9123376623376623,0.9285714285714286,0.9594155844155844,0.014120669919841993,1.784161275279017e-07,0.02848603268634129,0.02755089026703309
11,0.03178415298461914,0.00030078887939453123,0.8896103896103896,0.919047619047619,"(25, 25)",0.1,"{'hidden_layer_sizes': (25, 25), 'learning_rate_init': 0.1}",19,0.8051948051948052,0.9015151515151515,0.9047619047619048,0.9101731601731602,0.922077922077922,0.9172077922077922,0.9155844155844156,0.9323593073593074,0.9004329004329005,0.933982683982684,0.007324332383821556,0.00024559329219980326,0.04289866369467529,0.012568099388644133
