,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_NN__hidden_layer_sizes,param_NN__learning_rate_init,param_addClustKM__n_clusters,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.1240316390991211,0.012332963943481445,0.745021645021645,0.7830086580086579,"(25,)",0.001,2,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 2}",268,0.7554112554112554,0.6996753246753247,0.841991341991342,0.8354978354978355,0.7316017316017316,0.7137445887445888,0.6645021645021645,0.8322510822510822,0.7316017316017316,0.8338744588744589,0.026142282387350887,0.0014735131361902376,0.05719202921730562,0.06246473490209144
1,0.08763799667358399,0.014739274978637695,0.6194805194805195,0.7022727272727274,"(25,)",0.001,3,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 3}",406,0.7251082251082251,0.801948051948052,0.5887445887445888,0.8014069264069265,0.6255411255411255,0.6255411255411255,0.5562770562770563,0.5979437229437229,0.6017316017316018,0.6845238095238095,0.02875333512658481,0.0015403950475794044,0.057355631671821734,0.08584877834535197
2,0.08111562728881835,0.020154285430908202,0.3952380952380952,0.5748917748917749,"(25,)",0.001,4,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 4}",522,0.6341991341991342,0.8354978354978355,0.23376623376623376,0.5054112554112554,0.5303030303030303,0.6991341991341992,0.0,0.14285714285714285,0.577922077922078,0.6915584415584416,0.036211855529401066,0.005117256083041243,0.24124869588428519,0.24018504357346573
3,0.10678539276123047,0.02045431137084961,0.548051948051948,0.6874458874458875,"(25,)",0.001,5,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 5}",444,0.7359307359307359,0.7987012987012987,0.6082251082251082,0.6845238095238095,0.48268398268398266,0.6222943722943723,0.4653679653679654,0.6417748917748918,0.44805194805194803,0.689935064935065,0.02907077930386546,0.0018323916258236837,0.10957085381510909,0.061193236308736305
4,0.10969161987304688,0.02185831069946289,0.5675324675324676,0.7273809523809524,"(25,)",0.001,6,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 6}",437,0.6688311688311688,0.7353896103896104,0.5714285714285714,0.7792207792207793,0.5735930735930735,0.6991341991341992,0.3722943722943723,0.6893939393939394,0.6515151515151515,0.7337662337662337,0.018124124208990684,0.0013300833722798477,0.10534167503635918,0.031727496884912144
5,0.10207123756408691,0.025267267227172853,0.44502164502164504,0.6253246753246753,"(25,)",0.001,7,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 7}",491,0.6168831168831169,0.7721861471861472,0.5151515151515151,0.7142857142857143,0.5216450216450217,0.7348484848484849,0.14285714285714285,0.14285714285714285,0.42857142857142855,0.7624458874458875,0.02242635133232635,0.0026070136339969813,0.1624190272286915,0.24209707553865786
6,0.10206637382507325,0.02737269401550293,0.43073593073593075,0.53008658008658,"(25,)",0.001,8,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 8}",498,0.6688311688311688,0.7445887445887446,0.43073593073593075,0.5254329004329005,0.14285714285714285,0.14285714285714285,0.5627705627705628,0.6937229437229437,0.3484848484848485,0.5438311688311688,0.02119433380567999,0.0027567288216931267,0.18097619926508748,0.21116119226380092
7,0.11140241622924804,0.03138337135314941,0.48398268398268396,0.571969696969697,"(25,)",0.001,9,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 9}",465,0.7727272727272727,0.7462121212121212,0.6904761904761905,0.8068181818181818,0.14285714285714285,0.14285714285714285,0.4329004329004329,0.6233766233766234,0.38095238095238093,0.5405844155844156,0.028388798445966573,0.002701591289712379,0.2260992172828579,0.23378602409414728
8,0.10187273025512696,0.03118863105773926,0.4108225108225108,0.5130952380952382,"(25,)",0.001,10,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 10}",516,0.5844155844155844,0.6396103896103896,0.14285714285714285,0.14285714285714285,0.5930735930735931,0.7456709956709957,0.3225108225108225,0.5183982683982684,0.41125541125541126,0.5189393939393939,0.014799460735463458,0.0023635272494413853,0.1690884929882821,0.20358589834676558
9,0.10438308715820313,0.03429169654846191,0.3891774891774892,0.4019480519480519,"(25,)",0.001,11,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 11}",526,0.14285714285714285,0.06764069264069264,0.14285714285714285,0.0670995670995671,0.40476190476190477,0.5286796536796536,0.6017316017316018,0.6493506493506493,0.6536796536796536,0.696969696969697,0.022272962085567404,0.00417745266256486,0.21759179480019689,0.2786365494340871
10,0.16112866401672363,0.036502647399902347,0.6264069264069264,0.7348484848484849,"(25,)",0.001,12,"{'NN__hidden_layer_sizes': (25,), 'NN__learning_rate_init': 0.001, 'addClustKM__n_clusters': 12}",402,0.6103896103896104,0.704004329004329,0.7337662337662337,0.7683982683982684,0.658008658008658,0.7775974025974026,0.5757575757575758,0.6856060606060606,0.5541125541125541,0.7386363636363636,0.02591945979215999,0.004404273887420848,0.06414526906317386,0.035619051828093905
