,0,1,2,3,4,5,6,7,8,9
2,0.4367581518365705,0.498621302220217,0.5542194915766788,0.39749573292608126,0.5266328859437224,0.34692008138522706,0.35516625251534567,0.22174627266088104,0.48041397688751025,0.42503461831457684
5,0.671865569611692,0.6472072696078781,0.702379807635765,0.7165892001197937,0.658207349354684,0.5046571710913972,0.6109445745440919,0.4878967878021237,0.723561702784012,0.4491346401808735
10,0.7759394747238109,0.8179926905415963,0.8063462875225903,0.78187992636181,0.7591739848917265,0.850627974665299,0.752629225546707,0.7629870956821254,0.8776548908877919,0.8246303360591877
15,0.8532706343554067,0.8654067496360306,0.8602225473397684,0.8089564412241295,0.8251405567722929,0.8794792238149388,0.8274814995862816,0.7897626453279454,0.8342662230534696,0.8626251874184322
20,0.851485725157655,0.8929638154218514,0.898199541592534,0.8505170135784195,0.8119709308535038,0.8524368092200314,0.8668601658999754,0.8601452572478603,0.8885151877339185,0.9107990216002626
25,0.9007291039565449,0.9229015481185107,0.9071725812226231,0.9220198581090471,0.9082039975408055,0.8991875848615093,0.8783283854262731,0.9058644806297917,0.9281447796605686,0.8988833250207882
30,0.913992095500755,0.9405869570696327,0.9219576343568301,0.9245690820159409,0.9350000811451821,0.9017183756768943,0.9234723349288885,0.9042456829107092,0.9256775041976891,0.9257244524731001
35,0.9265440167244577,0.94641821362472,0.9202752877515928,0.9041102439050451,0.9368367563294693,0.9308207004773192,0.9364759204332036,0.9297863191827588,0.9396918532008534,0.921373512629377
40,0.9449425259220455,0.9419621790332675,0.9365084100845158,0.9291616343116854,0.9503663946262013,0.9388297592291617,0.9415384158538165,0.9307381598570837,0.9427402617082964,0.9331062137638095
45,0.9425034207068967,0.9578097924561875,0.9360066749872689,0.9238664293857812,0.9537611581083005,0.9529504371322276,0.9552767029911278,0.9372915301312854,0.9547642986764427,0.9324761897609096
50,0.9555208928178843,0.9526375926038922,0.941387863458554,0.9397262216868584,0.9531457617865119,0.9630682061511859,0.9551457067649666,0.9317983793059657,0.9425194144048592,0.9358695297957168
55,0.9597541776593576,0.9471531084076624,0.9578780164765548,0.9515888648803381,0.9677055319487744,0.9548869327758017,0.9507684916128318,0.9412151061663159,0.953914614166971,0.9486103817963472
60,0.9552476755599288,0.9679617945321705,0.9659326873532521,0.9481422108991757,0.9652560089049743,0.9701826221113259,0.9653296193341456,0.9522871923652905,0.9588549636626529,0.9483497274474991
64,0.9494821095096888,0.9671317065717586,0.9569716834683528,0.9617360966413354,0.9600592657605175,0.9662259323589827,0.9678629354533236,0.9650187880514319,0.9698413616744789,0.9380757020746782
